año,europa,paro,patria,familia,crisis,paz,españa,satisfacción,amor,terrorismo,libertad
1975,0,0,2,3,0,5,1,0,2,0,0
1976,0,0,3,7,0,4,5,0,0,0,1
1977,0,0,1,5,0,8,8,0,2,0,5
1978,0,0,1,8,0,3,5,0,1,0,4
1979,3,0,12,8,1,3,15,0,2,0,4
1980,0,2,2,3,1,3,7,0,0,1,3
1981,0,0,4,4,0,6,5,0,2,0,1
1982,0,0,1,10,0,5,3,2,2,0,2
1983,0,0,5,7,5,4,11,0,0,1,3
1984,0,0,1,5,1,2,10,0,2,1,2
1985,5,1,3,2,0,2,7,1,0,1,2
1986,0,0,3,1,0,3,4,0,0,1,5
1987,1,0,0,1,1,6,7,1,1,2,3
1988,4,1,0,2,0,3,3,1,0,1,2
1989,3,0,2,4,0,3,5,0,0,0,5
1990,2,1,0,3,0,11,4,0,1,1,6
1991,2,0,2,4,0,5,5,1,1,2,1
1992,10,0,1,3,1,4,5,0,0,2,1
1993,4,0,0,3,3,4,3,0,0,0,2
1994,2,1,0,2,3,8,3,0,0,0,2
1995,2,3,0,6,0,5,4,2,1,1,4
1996,1,0,0,7,0,3,9,1,0,2,4
1997,0,0,1,5,0,1,6,1,0,2,2
1998,0,0,3,1,1,5,9,0,0,0,5
1999,2,0,0,5,1,5,11,0,1,3,3
2000,0,0,0,5,0,2,4,1,0,2,3
2001,1,0,1,6,0,1,6,0,1,3,3
2002,0,0,0,8,1,2,9,0,1,3,3
2003,1,0,1,7,0,6,11,1,0,2,4
2004,1,1,1,6,0,5,13,0,0,2,1
2005,0,0,0,3,0,2,16,1,0,1,2
2006,0,0,0,4,0,4,11,0,0,2,2
2007,1,0,1,5,0,2,14,0,0,2,2
2008,1,0,0,6,5,2,6,0,0,6,1
2009,2,0,0,5,5,4,11,0,0,5,4
2010,0,1,0,4,5,3,6,0,0,1,1
2011,1,0,0,4,6,2,6,0,0,2,3
2012,1,1,0,3,7,1,4,1,0,0,0
